time,x_d,y_d,z_d,x,y,z,ex,ey,ez
0.010227926,0.1590272504010825,-0.37663966679258126,0.3195316887074034,0.15802885584646842,-0.37664279840871995,0.3195316887074034,0.0009983945546140904,3.131616138685178e-06,0.0
0.020117234,0.1600245148238723,-0.37663028489003003,0.3195316887074034,0.15802885584646842,-0.37664279840871995,0.3195316887074034,0.0019956589774038913,1.2513518689916125e-05,0.0
0.030111216,0.16102307459719659,-0.37661462463173173,0.3195316887074034,0.15802885584646842,-0.37664279840871995,0.3195316887074034,0.002994218750728167,2.8173776988216215e-05,0.0
0.040177992,0.1620265905536045,-0.3765925634175069,0.3195316887074034,0.15802885584646842,-0.37664279840871995,0.3195316887074034,0.003997734707136075,5.023499121303843e-05,0.0
0.050190728,0.16302959369397965,-0.3765641706730205,0.3195316887074034,0.15802885584646842,-0.37664279840871995,0.3195316887074034,0.005000737847511233,7.862773569944359e-05,0.0
0.06006082,0.16401551314644341,-0.37653007045895015,0.3195316887074034,0.15802885584646842,-0.37664279840871995,0.3195316887074034,0.005986657299974996,0.0001127279497697975,0.0
0.070117855,0.165018076548422,-0.3764890867046715,0.3195316887074034,0.15802885584646842,-0.37664279840871995,0.3195316887074034,0.006989220701953569,0.00015371170404843149,0.0
0.08011844,0.1660140909131567,-0.37644205602640946,0.3195316887074034,0.15802885584646842,-0.37664279840871995,0.3195316887074034,0.007985235066688273,0.00020074238231049257,0.0
0.090285178,0.16701960554126052,-0.37638817341173614,0.3195316887074034,0.15802885584646842,-0.37664279840871995,0.3195316887074034,0.008990749694792105,0.0002546249969838099,0.0
0.100042324,0.16799706264834233,-0.37632960663625786,0.3195316887074034,0.1584399716073338,-0.37735315983200424,0.3201782805952518,0.00955709104100852,0.001023553195746374,-0.0006465918878483801
0.110077032,0.16899550043914655,-0.3762634610865223,0.3195316887074034,0.1584399716073338,-0.37735315983200424,0.3201782805952518,0.010555528831812738,0.0010896987454819262,-0.0006465918878483801
0.120131712,0.16998999887218008,-0.37619119908309734,0.3195316887074034,0.1584399716073338,-0.37735315983200424,0.3201782805952518,0.011550027264846274,0.0011619607489068984,-0.0006465918878483801
0.130089373,0.17097986096735276,-0.37611292461442825,0.3195316887074034,0.1584399716073338,-0.37735315983200424,0.3201782805952518,0.012539889360018958,0.0012402352175759912,-0.0006465918878483801
0.140105568,0.1719692232017794,-0.3760283284342169,0.3195316887074034,0.1584399716073338,-0.37735315983200424,0.3201782805952518,0.013529251594445596,0.0013248313977873294,-0.0006465918878483801
0.150106479,0.17295665324605847,-0.3759375223319144,0.3195316887074034,0.1584399716073338,-0.37735315983200424,0.3201782805952518,0.01451668163872466,0.001415637500089828,-0.0006465918878483801
0.160251547,0.17394849196447926,-0.3758398619772609,0.3195316887074034,0.1584399716073338,-0.37735315983200424,0.3201782805952518,0.01550852035714545,0.0015132978547433562,-0.0006465918878483801
0.170113398,0.1749242355616706,-0.37573744063605047,0.3195316887074034,0.1584399716073338,-0.37735315983200424,0.3201782805952518,0.016484263954336803,0.0016157191959537687,-0.0006465918878483801
0.180255855,0.17592061879821427,-0.37562631471850044,0.3195316887074034,0.1584399716073338,-0.37735315983200424,0.3201782805952518,0.017480647190880466,0.0017268451135037943,-0.0006465918878483801
0.190127706,0.17689032790552028,-0.3755117756726766,0.3195316887074034,0.1584399716073338,-0.37735315983200424,0.3201782805952518,0.018450356298186477,0.0018413841593276636,-0.0006465918878483801
0.199991431,0.1778572660189495,-0.37539124295332477,0.3195316887074034,0.1587316915759055,-0.3778871333292205,0.32060851877013563,0.019125574443043997,0.0024958903758957596,-0.001076830062732237
0.210259426,0.1788528017593824,-0.37526049893311975,0.3195316887074034,0.1587316915759055,-0.3778871333292205,0.32060851877013563,0.020121110183476898,0.00262663439610078,-0.001076830062732237
0.220131436,0.17981493657303635,-0.37512768071239094,0.3195316887074034,0.1587316915759055,-0.3778871333292205,0.32060851877013563,0.02108324499713085,0.002759452616829583,-0.001076830062732237
0.230122785,0.1807858431783622,-0.3749871577982996,0.3195316887074034,0.1587316915759055,-0.3778871333292205,0.32060851877013563,0.02205415160245669,0.0028999755309209174,-0.001076830062732237
0.240190236,0.18175314163197961,-0.3748406112349324,0.3195316887074034,0.1587316915759055,-0.3778871333292205,0.32060851877013563,0.023021450056074116,0.003046522094288129,-0.001076830062732237
0.250157426,0.18271865376992022,-0.3746877575035453,0.3195316887074034,0.1587316915759055,-0.3778871333292205,0.32060851877013563,0.02398696219401472,0.003199375825675199,-0.001076830062732237
0.260240833,0.18368099194397858,-0.37452880167479524,0.3195316887074034,0.1587316915759055,-0.3778871333292205,0.32060851877013563,0.02494930036807308,0.003358331654425284,-0.001076830062732237
0.270091405,0.18463534710961596,-0.37436458489608115,0.3195316887074034,0.1587316915759055,-0.3778871333292205,0.32060851877013563,0.025903655533710462,0.003522548433139372,-0.001076830062732237
0.280331044,0.18560567479615736,-0.3741908290568866,0.3195316887074034,0.1587316915759055,-0.3778871333292205,0.32060851877013563,0.026873983220251862,0.003696304272333917,-0.001076830062732237
0.290147,0.18654717311009825,-0.37401561698832797,0.3195316887074034,0.1587316915759055,-0.3778871333292205,0.32060851877013563,0.02781548153419275,0.0038715163408925557,-0.001076830062732237
0.300076867,0.1874888119796173,-0.3738337821090277,0.3195316887074034,0.15913660145772185,-0.37803179259817243,0.3205568009332374,0.02835221052189546,0.0041980104891447545,-0.0010251122258340128
